URL,CALLS,DATA,STATUS,CUSTOM_KEY,CUSTOM_VALUE
http://www.bmo.com,https://smetrics.bmo.com/b/ss/,D:D=,200,,
,,ce:UTF-8,,,
,,D:D=,,,
,,ce:UTF-8,,,
,,ns:bmofinancialgroup,,,
,,pageName:BMO:PERS,,,
,,g:https://www.bmo.com/main/personal,,,
,,cc:CAD,,,
,,ch:BMO,,,
,,c1:BMO,,,
,,v1:D=c1,,,
,,h1:BMO:PERS,,,
,,c2:BMO:PERS,,,
,,v2:D=c2,,,
,,v4:D=c6,,,
,,v5:D=c7,,,
,,v6:D=c9,,,
,,v7:BMO:PERS,,,
,,c13:www.bmo.com/main/personal,,,
,,c14:en,,,
,,c28:Personal banking | BMO Bank of Montreal,,,
,,c60:bmoSubsitesDefaultTemplate,,,
,,c61:CA,,,
,,c62:BMO,,,
,,c63:channel,,,
,,v66:D=c3,,,
,,c75:DTM - BMO Public Pages,,,
,https://4227502.fls.doubleclick.net,,200,request:url,src=4227502;type=bmoge238;cat=bmoco260
http://www.bmo.com/main/personal/credit-cards/bmo-airmiles-mastercard,https://smetrics.bmo.com/b/ss/,pageName:BMO:PERS:CC:BMO AIR MILES MasterCard,200,,
,,g:https://www.bmo.com/main/personal/credit-cards/bmo-airmiles-mastercard/,,,
,,cc:CAD,,,
,,ch:BMO,,,
,,c1:BMO,,,
,,v1:D=c1,,,
,,v2:D=c2,,,
,,v4:D=c6,,,
,,v5:D=c7,,,
,,v6:D=c9,,,
,,v7:BMO:PERS:CC:BMO AIR MILES MasterCard,,,
,,c13:www.bmo.com/main/personal/credit-cards/bmo-airmiles-mastercard/,,,
,,c14:en,,,
,,c22:BMO AIR MILES MasterCard,,,
,,v22:BMO AIR MILES MasterCard,,,
,,c28:Travel Rewards: AIR MILES MasterCard No Annual Fee | BMO,,,
,,c60:bmoSubsitesDefaultTemplate,,,
,,c61:CA,,,
,,c62:BMO,,,
,,c63:channel,,,
,,v66:D=c3,,,
,,c75:DTM - BMO Public Pages,,,
,https://4227502.fls.doubleclick.net,,200,request:url,src=4227502;type=mctop053;cat=mc-no683
https://www.bmo.com/main/personal/credit-cards/compare-tool,https://smetrics.bmo.com/b/ss/,h1:BMO:PERS:CC:Compare credit cards,200,,
,,v2:D=c2,,,
,,c3:BMO:PERS:CC,,,
,,c4:BMO:PERS:CC:Compare credit cards,,,
,,v4:D=c6,,,
,,v5:D=c7,,,
,,v6:D=c9,,,
,,v7:BMO:PERS:CC:Compare credit cards,,,
